id;attribute_label;attribute_name;option_label;option_value
1;bracelet;ouch;crank provided until;gosh aha
2;where;bah who pfft;malfunction from unless;recklessly
3;greedily after even;ack;tooth anti;hutch
4;but appliance provided;whack whether;since youthfully;um illustrious
5;oxygenate;in apud;wherever request for;preclude
6;mysteriously;into zowie;corner if;bah foolish but
7;ocelot of;clearly upwardly;onto;boohoo upon
8;viciously if mmm;wedding;angrily what softly;eek salty drat
9;bruised talkative whenever;hence pro geez;bah on;quarrelsomely mockingly
10;zowie huzzah thread;an;oof lightly with;for rue
