id;attribute_label;attribute_name;option_label;option_value
1;lovingly;eek ack boiling;lest that pleasure;jungle
2;intent yippee reprove;smoke;er;regal
3;zowie absent furthermore;tremendously per advocate;relative;bah or
4;through;whose ha fooey;inside adviser astride;consequently unless whoa
5;status;hm;toe lest hateful;whether eek
6;pertinent punctually daughter;own unabashedly arbitrate;meatloaf;condense waver upbeat
7;unto aircraft;who;behind drive;split instead clearly
8;barring ripe usually;throughout yuck;ack quart symbolise;cleave hmph speedily
9;instead into simple;deflect except hefty;grubby a nor;although whose
10;failing as above;geez at elegantly;solemnly though;pish pick suspiciously
