id;attribute_label;attribute_name;option_label;option_value
1;calmly gloss medium;settler instead aw;crumble ragged fidget;likewise pro as
2;under rag sunny;impassioned;finally;dishonor what headline
3;lest;factorize onto caring;sandy ah scamper;patiently duh velocity
4;colon oof successfully;physical;suddenly opposite;ascribe
5;provided;plus singing coordination;wear;immaculate vastly
6;entice zowie;although bungalow;intrigue;unless adult deploy
7;barring;bah wetly marten;lined;anneal
8;twist;commodity adventurously around;favorite;orientate airline
9;atrium;nervously;detective victorious readily;minor bob armoire
10;deplore redesign swiftly;wrongly notwithstanding yuck;leap ouch chunder;sternly
