id;attribute_label;attribute_name;option_label;option_value
1;acidic;liquid quarrelsomely;hmph treasure;yowza wealthy
2;plus following;whisper;bad reclassify;among
3;knowledgeably cake stylish;deflate;tragic and disgorge;hmph
4;woot gladly;for;aside distinction whoever;charter
5;long topsail hence;brr;potentially obvious;um rich meanwhile
6;ack round fiercely;circa painfully;without unimpressively once;ambitious without
7;bah exploration ick;admonish quinoa owlishly;yum regarding;yuck up
8;quietly;untimely;case convection fedora;sedately trash yahoo
9;brightly since psst;yawningly before;faraway beside drat;short
10;nifty;because;fooey like avow;hmph wide
