id;label;sku
1;256 GB,Space Grey,Apple M3 Chip (CPU 8-Core, GPU 10-Core),16 GB;8100027796
2;256 GB,Silver,Apple M3 Chip (CPU 8-Core, GPU 10-Core),16 GB;8100027797
3;256 GB,Starlight,Apple M3 Chip (CPU 8-Core, GPU 10-Core),16 GB;8100027798
4;256 GB,Midnight,Apple M3 Chip (CPU 8-Core, GPU 10-Core),16 GB;8100027799
5;512 GB,Space Grey,Apple M3 Chip (CPU 8-Core, GPU 10-Core),24 GB;8100027800
6;512 GB,Silver,Apple M3 Chip (CPU 8-Core, GPU 10-Core),24 GB;8100027801
7;512 GB,Starlight,Apple M3 Chip (CPU 8-Core, GPU 10-Core),24 GB;8100027802
8;512 GB,Midnight,Apple M3 Chip (CPU 8-Core, GPU 10-Core),24 GB;8100027803
9;512 GB,Space Grey,Apple M3 Chip (CPU 8-Core, GPU 10-Core),16 GB;8100142839
10;512 GB,Silver,Apple M3 Chip (CPU 8-Core, GPU 10-Core),16 GB;8100142840
11;512 GB,Starlight,Apple M3 Chip (CPU 8-Core, GPU 10-Core),16 GB;8100142841
12;512 GB,Midnight,Apple M3 Chip (CPU 8-Core, GPU 10-Core),16 GB;8100142842
